Gameweek,Daniel,Jayden,James
1,80,65,47
2,48,44,48
3,48,97,42
4,46,51,38
5,68,68,68
6,84,82,81
7,58,57,54
8,62,50,47
9,62,50,59
10,55,75,51
11,56,63,42
12,72,93,45
13,64,41,53
14,37,59,51
15,54,40,34
16,76,50,55
17,39,38,57
18,57,61,52
19,95,48,53
20,90,57,52
21,69,63,47
22,44,55,50
23,74,47,18
24,59,44,40
25,60,74,60
26,54,45,52
27,76,88,49
28,54,48,39
29,52,46,53
30,47,38,65
31,82,84,75
32,63,53,49
33,44,20,43
34,84,69,62
35,71,36,52
36,63,37,57
