Gameweek,Daniel,Jayden,James
1,3,2,3
2,8,6,15
3,7,10,7
4,12,14,2
5,13,9,9
6,16,6,5
7,6,5,3
8,3,1,8
9,6,8,5
10,8,10,8
11,7,14,14
12,1,6,2
13,11,3,15
14,0,0,5
15,10,2,3
16,5,7,3
17,0,0,1
18,3,4,5
19,9,9,2
20,6,3,0
21,1,0,0
22,0,0,0
23,2,1,0
24,1,0,2
25,3,0,0
26,1,0,0
27,2,1,2
28,0,0,0
29,2,0,0
30,10,1,-2
31,0,0,0
32,4,1,0
33,4,0,0
34,0,8,0
35,0,0,0
36,20,0,0
